Date,Year,Month,Day,Weekday,Region,Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Units_Sold,Number_of_Transactions,Average_Transaction_Value,Marketing_Spend,Ad_Channel,Website_Visits,New_Customers,Returning_Customers,Customer_Acquisition_Cost,Top_Selling_Category,Customer_Satisfaction_Score,Inventory_Level,Production_Volume,Supplier_Lead_Time_Days
2022-01-01,2022,1,1,Saturday,North America,15250,9150,6100,5500,600,150,80,190.63,1000,Social Media,2500,30,50,33.33,Electronics,4.5,20000,150,5
2022-01-02,2022,1,2,Sunday,Europe,18300,10980,7320,5800,1520,180,95,192.63,1200,Google Ads,2800,35,60,34.29,Apparel,4.6,19820,160,5
2022-01-03,2022,1,3,Monday,Asia,16500,9900,6600,5600,1000,165,85,194.12,1100,Email,2600,32,53,34.38,Home Goods,4.4,19655,155,6
2022-01-04,2022,1,4,Tuesday,LATAM,14800,8880,5920,5400,520,148,78,189.74,950,Organic,2400,28,50,33.93,Electronics,4.5,19507,140,6
2022-01-05,2022,1,5,Wednesday,North America,17100,10260,6840,5700,1140,171,90,190.00,1150,Social Media,2700,34,56,33.82,Apparel,4.7,19336,170,5
2022-01-06,2022,1,6,Thursday,Europe,19500,11700,7800,6000,1800,195,102,191.18,1300,Google Ads,3000,38,64,34.21,Home Goods,4.6,19141,180,5
2022-01-07,2022,1,7,Friday,Asia,17800,10680,7120,5800,1320,178,92,193.48,1200,Email,2800,36,56,33.33,Electronics,4.5,18963,175,6
2022-01-08,2022,1,8,Saturday,LATAM,16200,9720,6480,5600,880,162,85,190.59,1050,Organic,2600,31,54,33.87,Apparel,4.4,18801,160,6
2022-01-09,2022,1,9,Sunday,North America,18900,11340,7560,5900,1660,189,98,192.86,1250,Social Media,2900,37,61,33.78,Home Goods,4.6,18612,185,5
2022-01-10,2022,1,10,Monday,Europe,21000,12600,8400,6200,2200,210,110,190.91,1400,Google Ads,3200,40,70,35.00,Electronics,4.7,18402,200,5
2022-01-11,2022,1,11,Tuesday,Asia,19200,11520,7680,6000,1680,192,100,192.00,1300,Email,3000,38,62,34.21,Apparel,4.5,18210,190,6
2022-01-12,2022,1,12,Wednesday,LATAM,17500,10500,7000,5800,1200,175,92,190.22,1150,Organic,2800,34,58,33.82,Home Goods,4.4,18035,170,6
2022-01-13,2022,1,13,Thursday,North America,20500,12300,8200,6100,2100,205,105,195.24,1350,Social Media,3100,39,66,34.62,Electronics,4.6,17830,200,5
2022-01-14,2022,1,14,Friday,Europe,22500,13500,9000,6400,2600,225,115,195.65,1500,Google Ads,3400,42,73,35.71,Apparel,4.7,17605,220,5
2022-01-15,2022,1,15,Saturday,Asia,20800,12480,8320,6200,2120,208,108,192.59,1400,Email,3200,40,68,35.00,Home Goods,4.5,17397,210,6
2022-01-16,2022,1,16,Sunday,LATAM,18800,11280,7520,6000,1520,188,98,191.84,1250,Organic,3000,36,62,34.72,Electronics,4.4,17209,185,6
2022-01-17,2022,1,17,Monday,North America,22000,13200,8800,6300,2500,220,112,196.43,1450,Social Media,3300,41,71,35.37,Apparel,4.7,16989,215,5
2022-01-18,2022,1,18,Tuesday,Europe,24000,14400,9600,6600,3000,240,122,196.72,1600,Google Ads,3600,45,77,35.56,Home Goods,4.8,16749,240,5
2022-01-19,2022,1,19,Wednesday,Asia,22200,13320,8880,6400,2480,222,114,194.74,1500,Email,3400,42,72,35.71,Electronics,4.6,16527,220,6
2022-01-20,2022,1,20,Thursday,LATAM,20000,12000,8000,6200,1800,200,104,192.31,1350,Organic,3200,38,66,35.53,Apparel,4.5,16327,200,6
2022-01-21,2022,1,21,Friday,North America,23500,14100,9400,6500,2900,235,120,195.83,1550,Social Media,3500,44,76,35.23,Home Goods,4.7,16092,230,5
2022-01-22,2022,1,22,Saturday,Europe,25500,15300,10200,6800,3400,255,130,196.15,1700,Google Ads,3800,48,82,35.42,Electronics,4.8,15837,250,5
2022-01-23,2022,1,23,Sunday,Asia,23800,14280,9520,6600,2920,238,122,195.08,1600,Email,3600,45,77,35.56,Apparel,4.6,15599,235,6
2022-01-24,2022,1,24,Monday,LATAM,21500,12900,8600,6400,2200,215,110,195.45,1450,Organic,3400,40,70,36.25,Home Goods,4.5,15384,210,6
2022-01-25,2022,1,25,Tuesday,North America,25000,15000,10000,6700,3300,250,128,195.31,1650,Social Media,3700,47,81,35.11,Electronics,4.7,15134,245,5
2022-01-26,2022,1,26,Wednesday,Europe,27000,16200,10800,7000,3800,270,138,195.65,1800,Google Ads,4000,50,88,36.00,Apparel,4.8,14864,265,5
2022-01-27,2022,1,27,Thursday,Asia,25200,15120,10080,6800,3280,252,128,196.88,1700,Email,3800,48,84,35.42,Home Goods,4.6,14612,250,6
2022-01-28,2022,1,28,Friday,LATAM,23000,13800,9200,6600,2600,230,118,194.92,1550,Organic,3600,42,76,36.90,Electronics,4.5,14382,225,6
2022-01-29,2022,1,29,Saturday,North America,26500,15900,10600,6900,3700,265,135,196.30,1750,Social Media,3900,49,86,35.71,Apparel,4.7,14117,260,5
2022-01-30,2022,1,30,Sunday,Europe,28500,17100,11400,7200,4200,285,145,196.55,1900,Google Ads,4200,52,93,36.54,Home Goods,4.8,13832,280,5
2022-01-31,2022,1,31,Monday,Asia,26800,16080,10720,7000,3720,268,136,197.06,1800,Email,4000,50,88,36.00,Electronics,4.6,13564,265,6
2022-02-01,2022,2,1,Tuesday,LATAM,24500,14700,9800,6800,3000,245,125,196.00,1650,Organic,3800,45,80,36.67,Apparel,4.5,13319,240,6
2022-02-02,2022,2,2,Wednesday,North America,28000,16800,11200,7100,4100,280,142,197.18,1850,Social Media,4100,51,91,36.27,Home Goods,4.7,13039,275,5
2022-02-03,2022,2,3,Thursday,Europe,30000,18000,12000,7400,4600,300,152,197.37,2000,Google Ads,4400,55,98,36.36,Electronics,4.8,12739,300,5
2022-02-04,2022,2,4,Friday,Asia,28200,16920,11280,7200,4080,282,144,195.83,1900,Email,4200,52,92,36.54,Apparel,4.6,12457,280,6
2022-02-05,2022,2,5,Saturday,LATAM,26000,15600,10400,7000,3400,260,132,196.97,1750,Organic,4000,48,85,36.46,Home Goods,4.5,12197,255,6
2022-02-06,2022,2,6,Sunday,North America,29500,17700,11800,7300,4500,295,150,196.67,1950,Social Media,4300,54,96,36.11,Electronics,4.7,11902,290,5
2022-02-07,2022,2,7,Monday,Europe,31500,18900,12600,7600,5000,315,160,196.88,2100,Google Ads,4600,58,102,36.21,Apparel,4.8,11587,310,5
2022-02-08,2022,2,8,Tuesday,Asia,29800,17880,11920,7400,4520,298,152,196.05,2000,Email,4400,55,98,36.36,Home Goods,4.6,11289,295,6
